tranco_rank,Website,Number of Violations,Audit Done
11,cloudflare.com,1,true
14,instagram.com,3,true
20,linkedin.com,1,true
22,live.com,3,true
25,amazon.com,13,true
36,github.com,0,true
43,wordpress.org,2,true
54,digicert.com,8,true
79,tiktok.com,8,true
126,nist.gov,3,true
127,flickr.com,4,true
128,dropbox.com,2,true
130,gravatar.com,3,true
151,nytimes.com,4,true
157,archive.org,6,true
206,bbc.com,1,true
208,bbc.co.uk,1,true
212,creativecommons.org,9,true
218,sourceforge.net,5,true
274,wikimedia.org,5,true
342,etsy.com,4,true
517,surveymonkey.com,3,true
2060,tawk.to,5,true
5193,shop-pro.jp,4,true
7104,elo7.com.br,5
12252,courtlistener.com,3
13387,wallpapercave.com,2
14364,icy-veins.com,5
14396,refiner.io,4
16804,vietjetair.com,3
20917,typeset.io,3
21323,xdate.ch,7
29342,ijs.si,4
33633,mybib.com,5
36883,state.mn.us,5
43687,phplist.com,6
44135,paste.ee,1
47639,afw.com,2
47843,templeandwebster.com.au,1
54410,picturepush.com,6
57006,adoptmetradingvalues.com,7
57524,xyzscripts.com,10
61097,grazia.it,8
61399,snipboard.io,3
71658,globalhealing.com,4
80428,papvacances.fr,1
88318,syse.no,4
107208,ulm.de,4
109230,staysure.co.uk,6
109769,printwhatyoulike.com,7
117207,chick.com,4
120833,musee-orangerie.fr,6
121613,conceptispuzzles.com,11
126329,ktotv.com,3
134040,rovaniemi.fi,2
138322,sonix.ai,5
145642,crownawards.com,3
148376,goopics.net,6
165833,robbiewilliams.com,5
169744,rockabilia.com,9
173318,tombihn.com,8
175864,thedressoutlet.com,5
180926,twinings.co.uk,1
182449,smartsaker.com,6
183622,motherdenim.com,11
185273,pxu.co,2
187453,realitymix.cz,4
189617,365mashbir.co.il,6
190789,we-xpats.com,5
191576,nanog.org,2
193067,toucheprive.com,8
201199,mister-pool.de,7
206203,thegenealogist.co.uk,3
228666,nakhlmarket.com,7
238662,clipartkey.com,5
241342,santaeulalia.com,4
241421,theperfectjean.nyc,12
241825,killcrew.co,8
257419,junkbrands.com,3
261469,webrate.org,7
