Website URL,337 Redundant Entry,331 Error Identification,247 Focus is Visible,JSON Filename
https://017shop.ca/account/register,True,True,True,017blog.com_cleaned.json
https://www.100000jobs.ch/user/register,True,True,True,100000jobs.ch_cleaned.json
https://app.100hires.com/auth/create-account,True,True,True,100hires.com_cleaned.json
https://100thieves.com/account/register,True,True,True,100thieves.com_cleaned.json
https://10freelife.com/account/register,True,False,True,10freelife.com_cleaned.json
https://111skin.com/account/register,True,True,True,111skin.com_cleaned.json
https://1126records.com/account/register,True,True,True,1126records.com_cleaned.json
https://www.11bravos.com/account/register,True,True,True,11bravos.com_cleaned.json
https://www.123.is/SignupAragorn.aspx,True,False,True,123.is_cleaned.json
https://123presets.store/account/register,True,False,True,123presets.store_cleaned.json
https://123stitch.com/cgi-bin/accounts/create_account.pl,True,False,True,123stitch.com_cleaned.json
https://www.123teachme.com/members/base/register,True,True,True,123teachme.com_cleaned.json
https://www.127yardsale.com/cb-registration,True,True,True,127yardsale.com_cleaned.json
https://1290sqm.com/account/register,True,False,True,1290sqm.com_cleaned.json
https://www.12thtribe.com/account/register,True,True,True,12thtribe.com_cleaned.json
https://new.achieve.12weekyear.com/signup,True,True,True,12weekyear.com_cleaned.json
https://www.1800wheelchair.com/customer/account/create/,True,Possible error due to shopify CAPTCHA.,True,1800wheelchair.com_cleaned.json
https://www.1820bagco.com/account/register,True,True,True,1820bagco.com_cleaned.json
https://1822denim.com/account/register,True,True,True,1822denim.com_cleaned.json
https://www.1928.com/account/register,True,False,True,1928.com_cleaned.json
https://1997appealclothing.com/account/register,True,Possible error due to shopify CAPTCHA.,True,1997appealclothing.com_cleaned.json
https://1hairstop.in/account/register,True,True,True,1hairstop.in_cleaned.json
https://1ml.com/account/register,True,True,True,1ml.com_cleaned.json
https://shop.1sale.com/account/register,True,False,True,1saleaday.com_cleaned.json
https://shop.1sale.com/account/register,True,False,True,1sale.com_cleaned.json
https://1shortlink.com/register,True,Possible regex issue,True,1shortlink.com_cleaned.json
https://1stphorm.com/account/register,True,False,True,1stphorm.com_cleaned.json
https://1thrive.com/account/register,True,True,True,1thrive.com_cleaned.json
https://1upnutrition.com/account/register,True,Possible error due to shopify CAPTCHA.,True,1upnutrition.com_cleaned.json
https://my.20i.com/register,True,Possible regex issue,True,20i.com_cleaned.json
https://20x200.com/account/register,True,False,True,20x200.com_cleaned.json
https://www.21-draw.com/signup/,True,Possible regex issue,True,21-draw.com_cleaned.json
https://www.211ct.org/users/sign_up,True,True,True,211ct.org_cleaned.json
https://idp.21stmortgage.com/Account/Register?returnurl=https%3A%2F%2Fapply.21stmortgage.com%2F%3F,True,True,True,21stmortgage.com_cleaned.json
https://dashboard.21cloudbox.com/u/signup/,True,True,True,21yunbox.com_cleaned.json
https://22daysnutrition.com/account/register,True,Possible error due to shopify CAPTCHA.,True,22daysnutrition.com_cleaned.json
https://www.22vd.com/register,True,True,True,22vd.com_cleaned.json
https://www.23snaps.com/account/register,True,True,True,23snaps.com_cleaned.json
https://accounts.24-7prayer.com/register,True,True,True,24-7prayer.com_cleaned.json
https://www.247blinds.co.uk/customer/account/create/,True,True,True,247blinds.co.uk_cleaned.json
https://www.24hourwristbands.ca/account/register,True,Possible error due to shopify CAPTCHA.,True,24hourwristbands.ca_cleaned.json
https://27boutique.com/account/register,True,True,True,27boutique.com_cleaned.json
https://www.2bigfeet.com/account/register,True,True,True,2bigfeet.com_cleaned.json
https://2draw.net/network/register/?uri=,True,True,True,2draw.net_cleaned.json
https://2fast4buds.com/register,True,Possible regex issue,True,2fast4buds.com_cleaned.json
https://www.2hraquarist.com/account/register,True,False,True,2hraquarist.com_cleaned.json
https://2karandasha.ru/signup,True,True,True,2karandasha.ru_cleaned.json
https://310nutrition.com/account/register,True,False,True,310nutrition.com_cleaned.json
https://www.32spokes.com.au/account/register,True,False,True,32spokes.com.au_cleaned.json
https://www.343industries.org/forum/register/,True,True,True,343industries.org_cleaned.json
https://login.mitgo.com/auth/realms/users/protocol/openid-connect/registrations?client_id=monolith&redirect_uri=https%3A%2F%2Fstore.admitad.com%2Fen%2Fsso%2Flogin-complete%2F%3Frole%3Dwebmaster&response_type=code&scope=openid+email+profile&state=55fa86f4-ff46-4d95-b4e4-55dff0160648&ui_locales=en,True,Possible error due to shopify CAPTCHA.,True,360totalsecurity.com_cleaned.json
https://365mashbir.co.il/account/register,True,Possible error due to shopify CAPTCHA.,True,365mashbir.co.il_cleaned.json
https://3craftchicks.com/account/register,True,Possible error due to shopify CAPTCHA.,True,3craftchicks.com_cleaned.json
https://www.3d-drucker-community.de/register/,True,Possible regex issue,True,3d-drucker-community.de_cleaned.json
https://3dkeebs.com/account/register,True,Possible error due to shopify CAPTCHA.,True,3dkeebs.com_cleaned.json
https://www.3dphotogifts.com/account/register,True,True,True,3dphotogifts.com_cleaned.json
https://insightchemicals.3eiq.com/Register.aspx,True,False,True,3eonline.com_cleaned.json
https://3hentai.net/register?return=%2Flogin%3Freturn%3D%252F%252F,True,False,True,3hentai.net_cleaned.json
https://store.401games.ca/account/register,True,True,True,401games.ca_cleaned.json
https://www.40billion.com/,True,False,True,40billion.com_cleaned.json
https://companies.intra.42.fr/en/pros/sign_up,True,Possible regex issue,True,42.fr_cleaned.json
https://www.420science.com/account/register,True,True,True,420science.com_cleaned.json
https://45books.com/account/register,True,False,True,45books.com_cleaned.json
https://47brand.com.au/account/register,True,Possible error due to shopify CAPTCHA.,True,47brand.com.au_cleaned.json
https://account.4d.com/signup.shtml,True,Possible regex issue,True,4d.com_cleaned.json
https://4knines.com/account/register,True,True,True,4knines.com_cleaned.json
http://www.4mark.net/register.aspx,True,False,True,4mark.net_cleaned.json
https://www.4purposeenergy.com/account/register,True,False,True,4purposeenergy.com_cleaned.json
https://shop.4tronix.co.uk/account/register,True,False,True,4tronix.co.uk_cleaned.json
https://50-50.com.au/account/register,True,Possible error due to shopify CAPTCHA.,True,50-50.com.au_cleaned.json
https://511ga.org/my511/register,True,Possible error due to shopify CAPTCHA.,True,511ga.org_cleaned.json
https://511la.org/my511/register,True,Possible error due to shopify CAPTCHA.,True,511la.org_cleaned.json
https://511on.ca/my511/register,True,Possible error due to shopify CAPTCHA.,True,511on.ca_cleaned.json
http://51paper.net/login/signup.html,True,True,True,51paper.net_cleaned.json
https://54energy.net/account/register,True,True,True,54energy.com_cleaned.json
https://54thrones.com/account/register,True,True,True,54thrones.com_cleaned.json
http://5tawzeef.com/registration/ar,True,False,True,5tawzeef.com_cleaned.json
https://www.60secondtraffic.com/members/registerfree.php,True,False,True,60secondtraffic.com_cleaned.json
https://www.64audio.com/account/register,True,Possible error due to shopify CAPTCHA.,True,64audio.com_cleaned.json
https://6bittersweets.com/account/register,True,False,True,6bittersweets.com_cleaned.json
http://www.6i5.com/user/public/register.html,True,Possible regex issue,True,6i5.com_cleaned.json
https://6ixice.com/account/register,True,Possible error due to shopify CAPTCHA.,True,6ixice.com_cleaned.json
https://portal.6wind.com/register.php/,True,True,True,6wind.com_cleaned.json
https://university.75f.io/en/users/sign_up,True,True,True,75f.io_cleaned.json
https://www.porchlightbooks.com/login/index?returnUrl=%2F,True,Possible regex issue,True,800ceoread.com_cleaned.json
https://www.80stees.com/account/register,True,Possible error due to shopify CAPTCHA.,True,80stees.com_cleaned.json
https://840designs.com/account/register,True,True,True,840designs.com_cleaned.json
https://www.8ball.co.uk/account/register,True,False,True,8ball.co.uk_cleaned.json
http://8coin.my/signup,False,True,True,8coin.my_cleaned.json
https://www.8kcosplay.com/register/,True,True,True,8kcosplay.com_cleaned.json
https://join.8teenboy.com/signup/signup.php?nats=MC4wLjIuMi4wLjAuMC4wLjA&step=2,True,True,True,8teenboy.com_cleaned.json
https://8thstreet.com/Customer/Signup,True,True,True,8thstreet.com_cleaned.json
https://www.911healthshop.com/account/register,True,True,True,911healthshop.com_cleaned.json
https://93brand.com/account/register,True,True,True,93brand.com_cleaned.json
https://93brand.com/account/register,True,True,True,karatedepot.com_cleaned.json
https://9689.jp/account/register,True,Possible error due to shopify CAPTCHA.,True,9689.jp_cleaned.json
https://96dragonstudio.com/account/register,True,True,True,96dragonstudio.com_cleaned.json
https://99perfume.com/account/register,True,True,True,99perfume.com_cleaned.json
https://www.99txs.com/register.php,True,Possible regex issue,True,99txs.com_cleaned.json
https://www.9cloud.us/accounts/signup/,True,True,True,9cloud.us_cleaned.json
https://www.a-d-g.com.au/account/register,True,False,True,a-d-g.com.au_cleaned.json
https://www1.nyc.gov/account/register.htm?spName=accesshra&target=aHR0cHM6Ly9hMDY5LWFjY2Vzcy5ueWMuZ292L2FjY2Vzc2hyYS9sb2dpbg==&lang=en_US&fromKiosk=true,True,True,True,a069-access.nyc.gov_cleaned.json
https://www.a1wears.com/register,True,True,True,a1designerwear.com_cleaned.json
https://a4c.com/account/register,True,True,True,a4c.com_cleaned.json
https://drivertraining.aaa.biz/account/register,True,True,True,aaa.biz_cleaned.json
https://www.aaannunci.it/creaaccount.aspx,True,Possible regex issue,True,aaannunci.it_cleaned.json
https://www.aaartsalliance.org/public-users/sign_up,True,True,True,aaartsalliance.org_cleaned.json
